2024-05-02 11:00:12,687 INFO    StreamThr :4011929 [internal.py:wandb_internal():86] W&B internal server running at pid: 4011929, started at: 2024-05-02 11:00:12.687141
2024-05-02 11:00:12,688 DEBUG   HandlerThread:4011929 [handler.py:handle_request():146] handle_request: status
2024-05-02 11:00:12,691 INFO    WriterThread:4011929 [datastore.py:open_for_write():87] open: ./saved_training_logs_experiment_1/roberta_large/full_finetuning/fake_true_dataset_mistral_10k/02_05_1100/wandb/run-20240502_110012-vqra181f/run-vqra181f.wandb
2024-05-02 11:00:12,692 DEBUG   SenderThread:4011929 [sender.py:send():378] send: header
2024-05-02 11:00:12,703 DEBUG   SenderThread:4011929 [sender.py:send():378] send: run
2024-05-02 11:00:13,090 INFO    SenderThread:4011929 [dir_watcher.py:__init__():211] watching files in: ./saved_training_logs_experiment_1/roberta_large/full_finetuning/fake_true_dataset_mistral_10k/02_05_1100/wandb/run-20240502_110012-vqra181f/files
2024-05-02 11:00:13,090 INFO    SenderThread:4011929 [sender.py:_start_run_threads():1099] run started: vqra181f with start time 1714640412.688557
2024-05-02 11:00:13,100 DEBUG   HandlerThread:4011929 [handler.py:handle_request():146] handle_request: check_version
2024-05-02 11:00:13,100 DEBUG   SenderThread:4011929 [sender.py:send_request():405] send_request: check_version
2024-05-02 11:00:13,164 DEBUG   HandlerThread:4011929 [handler.py:handle_request():146] handle_request: run_start
2024-05-02 11:00:13,170 DEBUG   HandlerThread:4011929 [system_info.py:__init__():26] System info init
2024-05-02 11:00:13,170 DEBUG   HandlerThread:4011929 [system_info.py:__init__():41] System info init done
2024-05-02 11:00:13,170 INFO    HandlerThread:4011929 [system_monitor.py:start():194] Starting system monitor
2024-05-02 11:00:13,170 INFO    SystemMonitor:4011929 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-02 11:00:13,170 INFO    HandlerThread:4011929 [system_monitor.py:probe():214] Collecting system info
2024-05-02 11:00:13,170 INFO    SystemMonitor:4011929 [interfaces.py:start():190] Started cpu monitoring
2024-05-02 11:00:13,171 INFO    SystemMonitor:4011929 [interfaces.py:start():190] Started disk monitoring
2024-05-02 11:00:13,172 INFO    SystemMonitor:4011929 [interfaces.py:start():190] Started gpu monitoring
2024-05-02 11:00:13,172 INFO    SystemMonitor:4011929 [interfaces.py:start():190] Started memory monitoring
2024-05-02 11:00:13,174 INFO    SystemMonitor:4011929 [interfaces.py:start():190] Started network monitoring
2024-05-02 11:00:13,223 DEBUG   HandlerThread:4011929 [system_info.py:probe():150] Probing system
2024-05-02 11:00:13,225 DEBUG   HandlerThread:4011929 [system_info.py:_probe_git():135] Probing git
2024-05-02 11:00:13,235 DEBUG   HandlerThread:4011929 [system_info.py:_probe_git():143] Probing git done
2024-05-02 11:00:13,235 DEBUG   HandlerThread:4011929 [system_info.py:probe():198] Probing system done
